No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
1012,F3dDs902cTP,Mkinga Health Center,F3dDs902cTP,105074-9,n1jFkKTlm7v,Tanga,Mkinga District Council,Mkinga Health Center,Mkinga Health Center,,CDC,THPS,2
1013,gWGRc5axU2w,Lyabukande Dispensary,gWGRc5axU2w,103790-2,f7UYBALZ5PA,Shinyanga,Shinyanga District Council,Lyabukande Dispensary,Lyabukande Dispensary,,CDC,THPS,2
1014,ZEFkL7WWYnH,Kilwa Road Police Other Hospital,ZEFkL7WWYnH,110897-6,LzoFw9FnX7p,Dar es Salaam,Temeke Municipal Council,Kilwa Road Police Other Hospital,Kilwa Road Police Other Hospital,Police,USAID,THPS,2
1015,faJZOVVXCEN,Ukonga Magereza Dispensary,faJZOVVXCEN,103950-2,xTsbRAbdTNc,Dar es Salaam,Ilala Municipal Council,Ukonga Magereza Dispensary,Ukonga Magereza Dispensary,Prison,USAID,THPS,2
1016,y3AhRY3EkRa,Nkumba Dispensary,y3AhRY3EkRa,106545-7,ghZgUzK6yPv,Tanga,Muheza District Council,Nkumba Dispensary,Nkumba Dispensary,,CDC,THPS,2
1017,mKhGQ4Dt4ZQ,Segera Dispensary,mKhGQ4Dt4ZQ,107346-9,qxZrLrMx1Uc,Tanga,Handeni District Council,Segera Dispensary,Segera Dispensary,,CDC,THPS,2
1018,d6unz8nkTlu,Mapinga Dispensary,d6unz8nkTlu,104301-7,ubADHZkNzLg,Pwani,Bagamoyo District Council,Mapinga Dispensary,Mapinga Dispensary,,CDC,THPS,2
1019,C1CZmk6HEEi,Samuye Health Center,C1CZmk6HEEi,107270-1,smwuhdXO3Zp,Shinyanga,Shinyanga District Council,Samuye Health Center,Samuye Health Center,,CDC,THPS,2
1020,LSFRbTfMiuA,F.F.U Dispensary,LSFRbTfMiuA,101116-2,bl3zpPvBDEj,Mbeya,Mbeya City Council,F.F.U Dispensary,F.F.U Dispensary,Police,USAID,THPS,2
1021,sP9Z12nAqlq,Hale Sisi Kwa Sisi Dispensary,sP9Z12nAqlq,101300-2,E9jjXwTTb6T,Tanga,Korogwe District Council,Hale Sisi Kwa Sisi Dispensary,Hale Sisi Kwa Sisi Dispensary,,CDC,THPS,2
1022,m3zi6C1m9rd,Kasulu Tc District Hospital,m3zi6C1m9rd,102453-8,jT6bRC7gR06,Kigoma,Kasulu Town Council,Kasulu Tc District Hospital,Kasulu Tc District Hospital,,CDC,THPS,2
1023,vlRvPBEe9TL,Uyogo Dispensary,vlRvPBEe9TL,108231-2,njjEVxzWpBB,Shinyanga,Ushetu District Council,Uyogo Dispensary,Uyogo Dispensary,,CDC,THPS,2
1024,le8KJUqKJvz,Kerege Health Center,le8KJUqKJvz,102545-1,U3dZ1klEUln,Pwani,Bagamoyo District Council,Kerege Health Center,Kerege Health Center,,CDC,THPS,2
1025,j6rMpKCYD4Z,Mwendapole Dispensary,j6rMpKCYD4Z,106001-1,EeqyhTOh7GO,Pwani,Kibaha Town Council,Mwendapole Dispensary,Mwendapole Dispensary,,CDC,THPS,2
1026,XBITcQWtNs3,Ngaya Health Center,XBITcQWtNs3,106364-3,w5BPcRDZ1FO,Shinyanga,Msalala District Council,Ngaya Health Center,Ngaya Health Center,,CDC,THPS,2
1027,MwSVaFdc7vs,Miono Health Center,MwSVaFdc7vs,104955-0,UlnqSlDyNer,Pwani,Chalinze District Council,Miono Health Center,Miono Health Center,,CDC,THPS,2
1028,uMuawkIWFFd,Ilagala Health Center,uMuawkIWFFd,101703-7,W343Dt47lJc,Kigoma,Uvinza District Council,Ilagala Health Center,Ilagala Health Center,,CDC,THPS,2
1029,pAPtZ06Lq58,Ruanda Prison Dispensary,pAPtZ06Lq58,107117-4,tvqIkrTmIkS,Mbeya,Mbeya City Council,Ruanda Prison Dispensary,Ruanda Prison Dispensary,Prison,USAID,THPS,2
1030,L8m8JIMex8g,Kambarage-Police Dispensary,L8m8JIMex8g,102282-1,Zatz8bGJJjl,Shinyanga,Shinyanga Municipal Council,Kambarage-Police Dispensary,Kambarage-Police Dispensary,Police,USAID,THPS,2
1031,hUjVGEeuHzG,Tanga Central Other Hospital,hUjVGEeuHzG,107744-5,S1iEXKmuRfM,Tanga,Tanga City Council,Tanga Central Other Hospital,Tanga Central Other Hospital,,CDC,THPS,2
1032,FqMAguvqpgs,Isagehe Dispensary,FqMAguvqpgs,101866-2,fSw0O0npocI,Shinyanga,Kahama Town Council,Isagehe Dispensary,Isagehe Dispensary,,CDC,THPS,2
1033,dcfoM5T4GXG,Kalya Health Center,dcfoM5T4GXG,102267-2,LEIyZGF8fZR,Kigoma,Uvinza District Council,Kalya Health Center,Kalya Health Center,,CDC,THPS,2
1034,AJAUUwBRwaP,Kolandoto Other Hospital,AJAUUwBRwaP,103280-4,aLjHuvME1RV,Shinyanga,Shinyanga Municipal Council,Kolandoto Other Hospital,Kolandoto Other Hospital,,CDC,THPS,2
1035,Fmn32Ycikng,Chamaguha Dispensary,Fmn32Ycikng,100711-1,VVhFOtvNNni,Shinyanga,Shinyanga Municipal Council,Chamaguha Dispensary,Chamaguha Dispensary,,CDC,THPS,2
1036,iI09UM9GI2C,Chela Health Center,iI09UM9GI2C,100762-4,NGNy2jUH6uZ,Shinyanga,Msalala District Council,Chela Health Center,Chela Health Center,,CDC,THPS,2
1037,DtjJ9tvl0Xu,Ngogwa Dispensary,DtjJ9tvl0Xu,110123-7,huDjwOceXkN,Shinyanga,Kahama Town Council,Ngogwa Dispensary,Ngogwa Dispensary,,CDC,THPS,2
1038,LXSKRM1y7H3,Mikanjuni Health Center,LXSKRM1y7H3,104897-4,sTcAhpgOWME,Tanga,Tanga City Council,Mikanjuni Health Center,Mikanjuni Health Center,,CDC,THPS,2
1039,PD8mDvBS972,Isanga Prison Dispensary,PD8mDvBS972,101881-1,PhthhUwJzqY,Dodoma,Dodoma Municipal Council,Isanga Prison Dispensary,Isanga Prison Dispensary,Prison,USAID,THPS,2
1040,eRwP6d3jcGx,Kiwangwa Dispensary,eRwP6d3jcGx,103224-2,Gi9aVm5u8vC,Pwani,Chalinze District Council,Kiwangwa Dispensary,Kiwangwa Dispensary,,CDC,THPS,2
1041,vTbgtmWIuSr,Bungu Dispensary,vTbgtmWIuSr,100571-9,cN3P67zzVQE,Pwani,Kibiti District Council,Bungu Dispensary,Bungu Dispensary,,CDC,THPS,2
1042,BHMMuA7x5Ko,Kizumbi Dispensary,BHMMuA7x5Ko,103256-4,WJAz9F8XZnl,Shinyanga,Shinyanga Municipal Council,Kizumbi Dispensary,Kizumbi Dispensary,,CDC,THPS,2
1043,HqxjkZRQsuo,Bulige Dispensary,HqxjkZRQsuo,100536-2,dzJdrAGPUIo,Shinyanga,Msalala District Council,Bulige Dispensary,Bulige Dispensary,,CDC,THPS,2
1044,saxaHH4decF,Mafia District Hospital,saxaHH4decF,103875-1,MtySbSccIXN,Pwani,Mafia District Council,Mafia District Hospital,Mafia District Hospital,,CDC,THPS,2
1045,hLFGHAN8Rn6,St. Francis Xavier Dispensary,hLFGHAN8Rn6,107586-0,efFGFA9QxBZ,Pwani,Mkuranga District Council,St. Francis Xavier Dispensary,St. Francis Xavier Dispensary,,CDC,THPS,2
1046,g1PtWSx1Ech,Duga Health Center,g1PtWSx1Ech,101032-1,QCt34PmPQUi,Tanga,Tanga City Council,Duga Health Center,Duga Health Center,,CDC,THPS,2
1047,pNHjuhPT893,Mazinde Dispensary,pNHjuhPT893,104529-3,IgCZrqAKlsc,Tanga,Korogwe District Council,Mazinde Dispensary,Mazinde Dispensary,,CDC,THPS,2
1048,hcKy0gZqnXO,Mwadui Williamson Other Hospital,hcKy0gZqnXO,105805-6,GWcUD79SKBi,Shinyanga,Kishapu District Council,Mwadui Williamson Other Hospital,Mwadui Williamson Other Hospital,,CDC,THPS,2
1049,jpSdNqqB5mc,Mchukwi Mission Other Hospital,jpSdNqqB5mc,104697-8,yruI0UFRLmm,Pwani,Kibiti District Council,Mchukwi Mission Other Hospital,Mchukwi Mission Other Hospital,,CDC,THPS,2
1050,qhjUflZ2u0d,Baptist Other Hospital,qhjUflZ2u0d,100318-5,MvbfHlMKxvk,Kigoma,Kigoma Municipal Council,Baptist Other Hospital,Baptist Other Hospital,,CDC,THPS,2
1051,BPzBoK3pAOS,Ngokolo Rc Health Center,BPzBoK3pAOS,106395-7,HEVzh30ej28,Shinyanga,Shinyanga Municipal Council,Ngokolo Rc Health Center,Ngokolo Rc Health Center,,CDC,THPS,2
1052,edMxEggJzzd,Msata Health Center,edMxEggJzzd,105443-6,gP687QTQhrY,Pwani,Chalinze District Council,Msata Health Center,Msata Health Center,,CDC,THPS,2
1053,rDBDm3e1SIu,Maneromango Health Center,rDBDm3e1SIu,104237-3,XXI486r2pBm,Pwani,Kisarawe District Council,Maneromango Health Center,Maneromango Health Center,,CDC,THPS,2
1054,PsYGWmakHqE,Nyankende Dispensary,PsYGWmakHqE,110026-2,SqkM9sha6LP,Shinyanga,Ushetu District Council,Nyankende Dispensary,Nyankende Dispensary,,CDC,THPS,2
1055,cs6R8OySvsE,Utete District Hospital,cs6R8OySvsE,108211-4,HCEIbfqbeqB,Pwani,Rufiji District Council,Utete District Hospital,Utete District Hospital,,CDC,THPS,2
1056,RTVTxtsuyso,Mkanyageni Dispensary,RTVTxtsuyso,105056-6,CW1O6nVeOCa,Tanga,Muheza District Council,Mkanyageni Dispensary,Mkanyageni Dispensary,,CDC,THPS,2
1057,ZngCBpzrtAi,Negezi Health Center,ZngCBpzrtAi,106303-1,iYcw6Fv9vdG,Shinyanga,Kishapu District Council,Negezi Health Center,Negezi Health Center,,CDC,THPS,2
1058,Rtpdx5udgxl,Police Dispensary,Rtpdx5udgxl,107006-9,qZMLEqzZ7pb,Mtwara,Mtwara Municipal Council,Police Dispensary,Police Dispensary,Police,USAID,THPS,2
1059,D9dqRIUZRvY,Kinaga Dispensary,D9dqRIUZRvY,102922-2,HzdQjiCmG3O,Shinyanga,Kahama Town Council,Kinaga Dispensary,Kinaga Dispensary,,CDC,THPS,2
1060,Gp3XyllviYG,Old Shinyanga Dispensary,Gp3XyllviYG,106896-4,a61f3EFv8Tt,Shinyanga,Shinyanga Municipal Council,Old Shinyanga Dispensary,Old Shinyanga Dispensary,,CDC,THPS,2
1061,PpNswLsta0F,Solwa Dispensary,PpNswLsta0F,107523-3,fkKeaY2Xkz9,Shinyanga,Shinyanga District Council,Solwa Dispensary,Solwa Dispensary,,CDC,THPS,2
1062,mqIXC8ackx1,St. Getrude Dispensary,mqIXC8ackx1,107591-0,IObn7AWRa0Q,Pwani,Kibaha District Council,St. Getrude Dispensary,St. Getrude Dispensary,,CDC,THPS,2
1063,hWBXfmuL6tP,Buhingu Health Center,hWBXfmuL6tP,100479-5,cW13apV19cT,Kigoma,Uvinza District Council,Buhingu Health Center,Buhingu Health Center,,CDC,THPS,2
1064,CbjyvJYiVWL,Mpunze Dispensary,CbjyvJYiVWL,105395-8,kKwvKC27diT,Shinyanga,Ushetu District Council,Mpunze Dispensary,Mpunze Dispensary,,CDC,THPS,2
1065,Pa6KESuUdoT,Kilago Dispensary,Pa6KESuUdoT,102807-5,ln3FZ1N6hGi,Shinyanga,Kahama Town Council,Kilago Dispensary,Kilago Dispensary,,CDC,THPS,2
1066,nY5wjde7nuq,Soni Health Center,nY5wjde7nuq,107550-6,jXP0GD5C3OM,Tanga,Bumbuli District Council,Soni Health Center,Soni Health Center,,CDC,THPS,2
1067,geBjJnWdLmG,Msoga District Hospital,geBjJnWdLmG,105483-2,Fx1n1Od9WK6,Pwani,Chalinze District Council,Msoga District Hospital,Msoga District Hospital,,CDC,THPS,2
1068,SWRjFD0gRfg,Kihonda Magereza Dispensary,SWRjFD0gRfg,102745-7,meNFrUXMeFb,Morogoro,Morogoro Municipal Council,Kihonda Magereza Dispensary,Kihonda Magereza Dispensary,Prison,USAID,THPS,2
1069,yCyF9MOBfvd,Mabatini Police Dispensary,yCyF9MOBfvd,103816-5,Hncr2tLtjjz,Mwanza,Nyamagana Municipal Council,Mabatini Police Dispensary,Mabatini Police Dispensary,Police,USAID,THPS,2
1070,neDvmFpsh7g,Gungu Health Center,neDvmFpsh7g,101270-7,gsQ0KYvmS9o,Kigoma,Kigoma Municipal Council,Gungu Health Center,Gungu Health Center,,CDC,THPS,2
1071,ODlFNvFPODQ,Magoma Health Center,ODlFNvFPODQ,103975-9,zzEdvhSGKUB,Tanga,Korogwe District Council,Magoma Health Center,Magoma Health Center,,CDC,THPS,2
1072,OriDK93Rmrp,Kibiti Rc Dispensary,OriDK93Rmrp,104323-1,bVlm1ocUkgF,Pwani,Kibiti District Council,Kibiti Rc Dispensary,Kibiti Rc Dispensary,,CDC,THPS,2
1073,pMS5qK8OtR8,Masaki Health Center,pMS5qK8OtR8,104371-0,SdzkEuY4vks,Pwani,Kisarawe District Council,Masaki Health Center,Masaki Health Center,,CDC,THPS,2
1074,JjL8iIoe6na,Ujiji Health Center,JjL8iIoe6na,108046-4,T9JocrLlPB2,Kigoma,Kigoma Municipal Council,Ujiji Health Center,Ujiji Health Center,,CDC,THPS,2
1075,KCXGW6pySwd,Kigoma Dispensary,KCXGW6pySwd,110120-3,mFriYWafxTw,Kigoma,Kigoma Municipal Council,Kigoma Dispensary,Kigoma Dispensary,,CDC,THPS,2
1076,rrZvLBvwRQI,Police Ffu Dispensary,rrZvLBvwRQI,107012-7,fqgbxTWzpTj,Morogoro,Morogoro Municipal Council,Police Ffu Dispensary,Police Ffu Dispensary,Police,USAID,THPS,2
1077,J6DnBwAXjQg,Mipa Dispensary,J6DnBwAXjQg,104956-8,QHIHaZDEiDi,Shinyanga,Kishapu District Council,Mipa Dispensary,Mipa Dispensary,,CDC,THPS,2
1078,Ts4bLkDXuAv,Ffu Ukonga Dispensary,Ts4bLkDXuAv,101143-6,e655uRAWZgo,Dar es Salaam,Ilala Municipal Council,Ffu Ukonga Dispensary,Ffu Ukonga Dispensary,Police,USAID,THPS,2
1079,qi3jHIzxrLp,Kiganamo Health Center,qi3jHIzxrLp,102694-7,Tf4cAlTJfZQ,Kigoma,Kasulu Town Council,Kiganamo Health Center,Kiganamo Health Center,,CDC,THPS,2
1080,lUFOM9lzCMx,Uzima Mission Dispensary,lUFOM9lzCMx,108239-5,VVbT4elMLTN,Pwani,Mkuranga District Council,Uzima Mission Dispensary,Uzima Mission Dispensary,,CDC,THPS,2
1081,VQNxQ15axz5,Songwa Health Center,VQNxQ15axz5,107547-2,eyY9i6K7vO4,Shinyanga,Kishapu District Council,Songwa Health Center,Songwa Health Center,,CDC,THPS,2
1082,ZPDdMyNpvTG,Nyarugusu Refugee Camp Health Center,ZPDdMyNpvTG,106809-7,aUUXlEYaYKO,Kigoma,Kasulu District Council,Nyarugusu Refugee Camp Health Center,Nyarugusu Refugee Camp Health Center,,CDC,THPS,2
1083,YQZpSOZedDc,Police Dispensary,YQZpSOZedDc,107005-1,v0jPeXCycHb,Tabora,Tabora Municipal Council,Police Dispensary,Police Dispensary,Police,USAID,THPS,2
1084,LzryP5COkGk,Idahina Dispensary,LzryP5COkGk,101469-5,jimrIwREA1q,Shinyanga,Ushetu District Council,Idahina Dispensary,Idahina Dispensary,,CDC,THPS,2
1085,EAWdXnBM20P,Kinamapula Dispensary,EAWdXnBM20P,102924-8,d2tG7g9S9v3,Shinyanga,Ushetu District Council,Kinamapula Dispensary,Kinamapula Dispensary,,CDC,THPS,2
1086,ZChN9aYPVNM,Buyekera Policeline Dispensary,ZChN9aYPVNM,100630-3,xkrGW2mJahU,Kagera,Bukoba Municipal Council,Buyekera Policeline Dispensary,Buyekera Policeline Dispensary,Police,USAID,THPS,2
1087,Zw9IpFD41Ia,Iyenze Health Center,Zw9IpFD41Ia,102041-1,fjkLMzdHSjn,Shinyanga,Kahama Town Council,Iyenze Health Center,Iyenze Health Center,,CDC,THPS,2
1088,Ns2JKOyD8ij,Kakola Dispensary,Ns2JKOyD8ij,111584-9,lJh9NZPqR9M,Shinyanga,Msalala District Council,Kakola Dispensary,Kakola Dispensary,,CDC,THPS,2
1089,R7Iv1igVexY,Kangagai Health Center,R7Iv1igVexY,102319-1,kzOyQxzNcmi,Tanga,Lushoto District Council,Kangagai Health Center,Kangagai Health Center,,CDC,THPS,2
1090,sMq2bmeU6qf,Yombo Dispensary,sMq2bmeU6qf,108388-0,gjQNdhpZVXR,Pwani,Bagamoyo District Council,Yombo Dispensary,Yombo Dispensary,,CDC,THPS,2
1091,ALL1Obw3iFg,Mzenga Health Center,ALL1Obw3iFg,106047-4,j6tNIvvdjxg,Pwani,Kisarawe District Council,Mzenga Health Center,Mzenga Health Center,,CDC,THPS,2
1092,aXLQkFjwsP0,Nhobola Health Center,aXLQkFjwsP0,106467-4,FRaBqWxJ7WH,Shinyanga,Kishapu District Council,Nhobola Health Center,Nhobola Health Center,,CDC,THPS,2
1093,TGUS438foHb,Kideleko Health Center,TGUS438foHb,102656-6,YcDpEhaNvrC,Tanga,Handeni Town Council,Kideleko Health Center,Kideleko Health Center,,CDC,THPS,2
1094,x0yCB59sluw,Mwawaza Dispensary,x0yCB59sluw,105980-7,jcvMzUbXOWQ,Shinyanga,Shinyanga Municipal Council,Mwawaza Dispensary,Mwawaza Dispensary,,CDC,THPS,2
1095,jHn6F0TWeFF,Tumaini Health Center,jHn6F0TWeFF,107912-8,moyRQvmsxPh,Tanga,Tanga City Council,Tumaini Health Center,Tumaini Health Center,,CDC,THPS,2
1096,FaBhlULEO22,Misozwe Dispensary,FaBhlULEO22,104983-2,lEngCbfqPAB,Tanga,Muheza District Council,Misozwe Dispensary,Misozwe Dispensary,,CDC,THPS,2
1097,qaOYD1dhkPR,Mohoro Health Center,qaOYD1dhkPR,105266-1,SAACwqm47V0,Pwani,Rufiji District Council,Mohoro Health Center,Mohoro Health Center,,CDC,THPS,2
1098,TLQLTfDgL4r,Magereza Dispensary,TLQLTfDgL4r,103923-9,rh3sLBMRU7u,Iringa,Iringa Municipal Council,Magereza Dispensary,Magereza Dispensary,Prison,USAID,THPS,2
1099,qQ0DKzgaj3K,Bumbuli Mission Other Hospital,qQ0DKzgaj3K,100556-0,a1VEv8w9Rk0,Tanga,Bumbuli District Council,Bumbuli Mission Other Hospital,Bumbuli Mission Other Hospital,,CDC,THPS,2
1100,oDSKZZvJJ75,Nduta Health Center,oDSKZZvJJ75,111785-2,pK6fF7Rh4jJ,Kigoma,Kibondo District Council,Nduta Health Center,Nduta Health Center,,CDC,THPS,2
1101,YVxOyi8ZVKJ,Mkamba Health Center,YVxOyi8ZVKJ,105047-5,Ivr3gSWQT1W,Pwani,Mkuranga District Council,Mkamba Health Center,Mkamba Health Center,,CDC,THPS,2
1102,HMAyv09xDly,St. Francis Kwamkono Other Hospital,HMAyv09xDly,103374-5,UK0AAOkCWLW,Tanga,Handeni District Council,St. Francis Kwamkono Other Hospital,St. Francis Kwamkono Other Hospital,,CDC,THPS,2
1103,bqeDbJXadht,Ibadakuli Dispensary,bqeDbJXadht,101430-7,ZeriprlcWIC,Shinyanga,Shinyanga Municipal Council,Ibadakuli Dispensary,Ibadakuli Dispensary,,CDC,THPS,2
1104,WmA7MwlaI1h,Bungu Health Center,WmA7MwlaI1h,100572-7,GmHQenHLGBi,Tanga,Korogwe District Council,Bungu Health Center,Bungu Health Center,,CDC,THPS,2
1105,c1NCiiikNI4,Somagedi Dispensary,c1NCiiikNI4,107525-8,QpWhRgVEJ2l,Shinyanga,Kishapu District Council,Somagedi Dispensary,Somagedi Dispensary,,CDC,THPS,2
1106,ZkJTGzPFfxZ,Mlalo Health Center,ZkJTGzPFfxZ,105183-8,SaS9Q8QolAb,Tanga,Lushoto District Council,Mlalo Health Center,Mlalo Health Center,,CDC,THPS,2
1107,Zaz70em9mqm,Mwabomba Dispensary,Zaz70em9mqm,110031-2,yM1p0EnRIki,Shinyanga,Ushetu District Council,Mwabomba Dispensary,Mwabomba Dispensary,,CDC,THPS,2
1108,hhngdZAFAaJ,Chagu Dispensary,hhngdZAFAaJ,100695-6,FpCSkPHNlJG,Kigoma,Uvinza District Council,Chagu Dispensary,Chagu Dispensary,,CDC,THPS,2
1109,cNsHTlBAlDE,Jaribu Mpakani Dispensary,cNsHTlBAlDE,102076-7,yq9iLyd8yJT,Pwani,Kibiti District Council,Jaribu Mpakani Dispensary,Jaribu Mpakani Dispensary,,CDC,THPS,2
1110,KxtmOqySMgf,Kwediboma Health Center,KxtmOqySMgf,103396-8,V5yACrICNQq,Tanga,Kilindi District Council,Kwediboma Health Center,Kwediboma Health Center,,CDC,THPS,2
1111,fykGYMmXBMm,Kididima Health Center,fykGYMmXBMm,102660-8,jqBII4Od95U,Tanga,Muheza District Council,Kididima Health Center,Kididima Health Center,,CDC,THPS,2
1112,odmepftlfcz,Police Dispensary,odmepftlfcz,107007-7,JFO5exMRiDY,Iringa,Iringa Municipal Council,Police Dispensary,Police Dispensary,Police,USAID,THPS,2
1113,wTj4Rh2X4Tl,Igwamanoni Dispensary,wTj4Rh2X4Tl,101599-9,Qx5tRk8gkDy,Shinyanga,Ushetu District Council,Igwamanoni Dispensary,Igwamanoni Dispensary,,CDC,THPS,2
1114,YY9ujUSETEB,Faraja Dispensary,YY9ujUSETEB,101136-0,DIldYhTW17e,Pwani,Rufiji District Council,Faraja Dispensary,Faraja Dispensary,,CDC,THPS,2
1115,RRRVXocIlrl,Manolo Dispensary,RRRVXocIlrl,104272-0,j5BXsVw9YmW,Tanga,Lushoto District Council,Manolo Dispensary,Manolo Dispensary,,CDC,THPS,2
1116,PuZn6pL7T2G,Mwakizega Dispensary,PuZn6pL7T2G,105834-6,l6Se10KAerz,Kigoma,Uvinza District Council,Mwakizega Dispensary,Mwakizega Dispensary,,CDC,THPS,2
1117,gqyzEfsZOLg,Mtego Wa Noti Dispensary,gqyzEfsZOLg,105543-3,YTPVTkVd6PA,Kigoma,Uvinza District Council,Mtego Wa Noti Dispensary,Mtego Wa Noti Dispensary,,CDC,THPS,2
1118,cNbPcJNDv42,Kifura Health Center,cNbPcJNDv42,102687-1,oDMbuE5ZA0s,Kigoma,Kibondo District Council,Kifura Health Center,Kifura Health Center,,CDC,THPS,2
1119,CDup8NAm4zV,Chole Health Center,CDup8NAm4zV,100873-9,fXoK8ke9Xg2,Pwani,Kisarawe District Council,Chole Health Center,Chole Health Center,,CDC,THPS,2
1120,prd99UCN0PF,Fukayosi Dispensary,prd99UCN0PF,101157-6,CbkPhlmg52q,Pwani,Bagamoyo District Council,Fukayosi Dispensary,Fukayosi Dispensary,,CDC,THPS,2
1121,T5tVN6L1Mrk,Magereza Dispensary,T5tVN6L1Mrk,103942-9,ycOe4mzLDH6,Tabora,Tabora Municipal Council,Magereza Dispensary,Magereza Dispensary,Prison,USAID,THPS,2
1122,MJZINxKrMDl,Bitale Health Center,MJZINxKrMDl,100377-1,ygNPXOmq6Lw,Kigoma,Kigoma District Council,Bitale Health Center,Bitale Health Center,,CDC,THPS,2
1123,yU7pyAVokOW,Homboza Health Center,yU7pyAVokOW,101385-3,ydqEVygI3TZ,Pwani,Kisarawe District Council,Homboza Health Center,Homboza Health Center,,CDC,THPS,2
1124,cKdw1uNkcXp,Mbwewe Dispensary,cKdw1uNkcXp,104686-1,OHU67BfnbX6,Pwani,Chalinze District Council,Mbwewe Dispensary,Mbwewe Dispensary,,CDC,THPS,2
1125,iFqegDxJN64,Mwalugulu Dispensary,iFqegDxJN64,110028-8,XHam1S902qC,Shinyanga,Msalala District Council,Mwalugulu Dispensary,Mwalugulu Dispensary,,CDC,THPS,2
1126,eoLWK7jMnVw,Idukilo Dispensary,eoLWK7jMnVw,101488-5,mv3NCM4jbOe,Shinyanga,Kishapu District Council,Idukilo Dispensary,Idukilo Dispensary,,CDC,THPS,2
1127,h2yUpTte9ii,Kazuramimba Dispensary,h2yUpTte9ii,102523-8,ctnCrxw1FQP,Kigoma,Uvinza District Council,Kazuramimba Dispensary,Kazuramimba Dispensary,,CDC,THPS,2
1128,tJ5sgRTKu8U,Arafa-Kiparang'Anda Dispensary,tJ5sgRTKu8U,100171-8,AFPBv1cwN70,Pwani,Mkuranga District Council,Arafa-Kiparang'Anda Dispensary,Arafa-Kiparang'Anda Dispensary,,CDC,THPS,2
1129,YXybvYIvozp,Busenda Dispensary,YXybvYIvozp,100594-1,ygOeM2MSFHB,Shinyanga,Ushetu District Council,Busenda Dispensary,Busenda Dispensary,,CDC,THPS,2
1130,mBQ3XCZMfWY,Songe Health Center,mBQ3XCZMfWY,107542-3,JIS9OtZmFAH,Tanga,Kilindi District Council,Songe Health Center,Songe Health Center,,CDC,THPS,2
1131,kMAWJhOOo2n,Vikindu Dispensary,kMAWJhOOo2n,108258-5,HIXRlUF01Tw,Pwani,Mkuranga District Council,Vikindu Dispensary,Vikindu Dispensary,,CDC,THPS,2
1132,xvC9KvlGR1g,Sangamwalugesha Dispensary,xvC9KvlGR1g,107280-0,bDmkliqJyeE,Simiyu,Maswa District Council,Sangamwalugesha Dispensary,Sangamwalugesha Dispensary,,CDC,AMREF,3
1133,M6i2A5ZxamC,Zagayu Health Center,M6i2A5ZxamC,108400-3,CJdies4VCvk,Simiyu,Itilima District Council,Zagayu Health Center,Zagayu Health Center,,CDC,AMREF,3
1134,v8huKOylURd,Sakasaka Dispensary,v8huKOylURd,107237-0,Yw01ydZcmip,Simiyu,Meatu District Council,Sakasaka Dispensary,Sakasaka Dispensary,,CDC,AMREF,3
1135,I8wpMGe2zYc,Kuruya Dispensary,I8wpMGe2zYc,103345-5,jWMMxWWcr5z,Mara,Rorya District Council,Kuruya Dispensary,Kuruya Dispensary,,CDC,AMREF,3
1136,eCAmzQdD5Zn,Tarime Dc District Hospital,eCAmzQdD5Zn,106751-1,VGTBkShRWQx,Mara,Tarime District Council,Tarime Dc District Hospital,Tarime Dc District Hospital,,CDC,AMREF,3
1137,XS1iDJdI8we,Malya Dispensary,XS1iDJdI8we,104198-7,XQqSKAQEL4c,Simiyu,Maswa District Council,Malya Dispensary,Malya Dispensary,,CDC,AMREF,3
1138,YGEn2nf1xyP,Nyankanga Dispensary,YGEn2nf1xyP,106781-8,t0L2Sb8a1lW,Mara,Butiama District Council,Nyankanga Dispensary,Nyankanga Dispensary,,CDC,AMREF,3
1139,ws63v1LILp0,Raranya Dispensary,ws63v1LILp0,109786-4,pu5NHHq3S6m,Mara,Rorya District Council,Raranya Dispensary,Raranya Dispensary,,CDC,AMREF,3
1140,BaLy8GnkX8G,Nguliguli Dispensary,BaLy8GnkX8G,106432-8,TPGexALcAmr,Simiyu,Maswa District Council,Nguliguli Dispensary,Nguliguli Dispensary,,CDC,AMREF,3
1141,BVI2g6UIgl5,Masanwa Dispensary,BVI2g6UIgl5,104386-8,IyFWTNmQ2qW,Simiyu,Maswa District Council,Masanwa Dispensary,Masanwa Dispensary,,CDC,AMREF,3
1142,SLp1LbALep3,Bukundi Health Center,SLp1LbALep3,100521-4,oVn7cww1yw4,Simiyu,Meatu District Council,Bukundi Health Center,Bukundi Health Center,,CDC,AMREF,3
1143,smtv9vtCVEG,Lagangabilili Dispensary,smtv9vtCVEG,103445-3,sthyCBrnr1k,Simiyu,Itilima District Council,Lagangabilili Dispensary,Lagangabilili Dispensary,,CDC,AMREF,3
1144,tdNk2xFAyIr,Ruhu Dispensary,tdNk2xFAyIr,107142-2,Q5LCIJxkAz6,Mara,Rorya District Council,Ruhu Dispensary,Ruhu Dispensary,,CDC,AMREF,3
1145,IOe6ywUssZW,Matongo Health Center,IOe6ywUssZW,104480-9,opqavqY1zhD,Simiyu,Bariadi District Council,Matongo Health Center,Matongo Health Center,,CDC,AMREF,3
